name,urls,exodus_link
Mintegral,"analytics.rayjump.com, cdn-adn.rayjump.com, de01.rayjump.com, de.rayjump.com, detect.rayjump.com, fk-mtrack.rayjump.com, hybird.rayjump.com, jssdk.rayjump.com, net.rayjump.com, online.rayjump.com, rayjump.com, setting.rayjump.com, sg-mtrack.rayjump.com, sg01.rayjump.com, sg.rayjump.com, tknet.rayjump.com, us01.rayjump.com",https://reports.exodus-privacy.eu.org/en/trackers/200/
MixPanel,"api.mixpanel.com, decide.mixpanel.com, mixpanel.com, switchboard.mixpanel.com",https://reports.exodus-privacy.eu.org/en/trackers/118/
MoEngage,apiv2.moengage.com,https://reports.exodus-privacy.eu.org/en/trackers/268/
Moat,"apx.moatads.com, geo.moatads.com, js.moatads.com, mb.moatads.com, moat.com, pixel.moatads.com, px.moatads.com, sejs.moatads.com, yt.moatads.com, yts.moatads.com, z.moatads.com",https://reports.exodus-privacy.eu.org/en/trackers/61/
MobPower,"api.mobpowertech.com, log.mobpowertech.com, mobpowertech.com, scheme.mobpowertech.com",https://reports.exodus-privacy.eu.org/en/trackers/215/
Mobile Engagement,"login.microsoftonline.com, management.azure.com",https://reports.exodus-privacy.eu.org/en/trackers/63/
Mobvista,mobvista.com,https://reports.exodus-privacy.eu.org/en/trackers/159/
Moodmedia,moodpresence.com,https://reports.exodus-privacy.eu.org/en/trackers/208/
NativeX,"mobvista.com, nativex.com",https://reports.exodus-privacy.eu.org/en/trackers/74/
New Relic,"nr-data.net, newrelic.com",https://reports.exodus-privacy.eu.org/en/trackers/130/
Nexage,nexage.com,https://reports.exodus-privacy.eu.org/en/trackers/33/
Ogury Presage,presage.io,https://reports.exodus-privacy.eu.org/en/trackers/34/
Omniture,"omniture.com, omtrdc.net",https://reports.exodus-privacy.eu.org/en/trackers/43/
OneSignal,onesignal.com,https://reports.exodus-privacy.eu.org/en/trackers/193/
Ooyala,ooyala.com,https://reports.exodus-privacy.eu.org/en/trackers/213/
OpenLocate,api.safegraph.com,https://reports.exodus-privacy.eu.org/en/trackers/44/
OpenX,"openx.com, openx.net, openx.org, us-ads.openx.net",https://reports.exodus-privacy.eu.org/en/trackers/210/
Optimizely,"optimizely.com, optimizelyapis.com",https://reports.exodus-privacy.eu.org/en/trackers/172/
OtherLevels,"api.otherlevels.com, geodata.otherlevels.com, mdn.otherlevels.com, rich.otherlevels.com, tags.otherlevels.com, ws.otherlevels.com",https://reports.exodus-privacy.eu.org/en/trackers/182/
OutBrain,outbrain.com,https://reports.exodus-privacy.eu.org/en/trackers/11/
OzTAM,deliver.oztam.com.au,https://reports.exodus-privacy.eu.org/en/trackers/316/
Persona.ly,"dev-api.persona.ly, dev.dsp.persona.ly, dev.persona.ly, dsp.persona.ly, persona.ly, rtb.persona.ly, sdk.persona.ly",https://reports.exodus-privacy.eu.org/en/trackers/166/
